row ID,row m/z,row retention time,6p.mzML Peak area,7p.mzML Peak area,1p.mzML Peak area,4p.mzML Peak area,5p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,9p.mzML Peak area,11p.mzML Peak area,8p.mzML Peak area,12p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area,13p.mzML Peak area,18p.mzML Peak area,16p.mzML Peak area,20p.mzML Peak area,17p.mzML Peak area,19p.mzML Peak area
,,,DSM43815,DSM43815,DSM43168,DSM43168,DSM43168,DSM43168,DSM43168,DSM43815,2M254,DSM43815,2M254,2M254,DSM43815,2M254,2M254,CT,CT,CT,CT,CT
1,281.182113,0.75395966,0,0,0,0,0,0,21446.826,0,0,0,0,54323.6,123755.82,0,105117.914,0,0,0,0,0
2,309.1665754,0.6680104,0,4088.4512,0,0,0,0,0,0,0,0,0,0,47269.215,0,0,103348.41,163705.66,114399.08,150538.95,132817.88
3,291.1560755,0.6689411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17606.676,31347.652,20131.71,24684.893,22802.79
4,471.219977,0.66902214,0,0,0,0,0,0,0,0,0,0,0,0,34330.117,0,0,36410.824,74424.016,38825.465,76596.016,59812.84
5,180.086793,0.679613,0,0,0,0,0,0,0,3945.164,7617.725,11010.313,14780.072,22298.346,16618.953,14970.58,21791.95,0,0,0,0,0
6,338.1615523,0.7314825,0,29966.45,0,0,0,0,0,12921.123,0,0,0,0,407454.03,0,0,23441.457,52277.836,27543.926,45816.93,30940.588
7,318.1306349,0.6761414,0,4463.5464,0,0,0,0,0,0,0,0,0,0,146271.08,0,0,157936.89,249919.31,149338.88,221319.92,183331.6
8,319.1620309,0.691429,0,15394.017,0,0,0,0,0,0,0,0,0,0,24778.914,0,0,79830.05,95067.44,103926.875,92995.23,107993.78
9,337.172587,0.6839896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226409.5,375195.44,264959,345874.53,332717.88
10,175.1191467,0.6906519,0,0,43817.04,29749.938,0,25812.434,29128.102,0,0,20855.312,0,28012.459,0,10649.915,17890.492,228954.9,272973.78,234535.53,239422.77,212954.06
11,162.0762786,0.7086583,0,0,11453.336,9667.031,16974.139,10432.582,16405.814,0,0,0,4237.249,11347.795,99928.29,4391.8413,11813.049,0,0,0,0,0
12,254.1219782,0.68623173,0,0,0,0,0,0,0,0,0,0,0,0,117309.31,0,0,0,0,0,0,0
13,306.1192107,0.6871095,0,0,0,0,0,0,0,0,0,0,0,0,272547.3,0,0,0,0,0,0,0
14,309.1665207,0.6691461,0,4088.4512,0,0,0,0,0,0,0,0,0,0,29429.969,0,0,113107.11,174378.06,120769.305,158490.61,139474.44
15,324.1296768,0.6947826,0,0,0,0,0,0,0,0,0,0,0,4506.5576,237703.27,0,0,0,0,0,0,0
16,343.1339428,0.7156887,0,0,0,0,0,0,0,0,0,0,0,0,328178.8,0,0,0,14388.509,10504.4375,12840.932,9741.615
17,486.18214,0.68623173,0,0,0,0,0,0,0,0,0,0,0,0,49369.047,0,0,0,0,0,0,0
18,504.1937495,0.6815289,0,23414.791,0,0,0,0,0,6667.372,0,0,0,0,405859.12,0,0,0,0,0,0,0
19,220.1101143,0.720301,0,9933.996,5077.793,0,0,0,0,18852.762,0,18561.768,0,0,76618.195,0,0,0,0,0,0,0
20,236.0800643,0.68854314,97747.44,171367.17,214830.98,124614.7,127974.14,128716.516,261953.1,257717.42,86760.914,278177.75,87375.03,74382.7,27145.668,72355.02,82207.16,0,0,0,0,0
21,154.1339847,0.689002,43486.004,85571.81,107031.96,51928.06,56998.97,60420.465,110004.29,135719.31,31569.506,157900.98,31149.867,26773.092,27157.2,27766.436,25403.121,0,0,0,0,0
22,199.1198485,0.73212177,0,15355.022,17335.438,4477.1294,0,7686.009,21330.756,25905.408,0,27636.889,0,8841.744,9321.08,0,0,0,0,0,0,11430.532
23,198.124085,0.6895153,98749.414,203371.83,218993.89,108844.66,133513.05,138283.47,237379.77,311483.38,73822.02,339685.22,68318.586,65516.215,64230.504,64809.086,57196.363,0,0,0,0,0
24,266.1603054,0.68793947,0,14126.424,19997.555,13065.503,0,14450.41,24266.682,14799.362,0,15485.575,0,0,28949,0,0,7881.875,12899.336,0,13073.854,0
25,504.1937371,0.6877263,0,19874.846,0,0,0,0,0,6667.372,0,0,0,0,72875.78,0,0,0,0,0,0,0
26,342.1403023,0.6925976,0,37249.434,8966.693,8624.346,14353.347,11971.615,11984.889,11275.889,16251.055,11769.567,34678.457,49749.523,2495935.5,32348.367,51073.984,66834.336,151744.73,65008.27,140373.23,78446.29
27,380.0964159,0.7006628,0,6056.65,0,0,0,0,0,0,0,0,8954.203,13123.152,154557.64,4938.3574,17779.42,19482.242,49194.516,8457.836,39688.457,14490.852
28,300.1331549,0.76867163,0,29750.357,0,15945.801,0,8170.382,94146.234,33253.49,0,20250.541,39157.99,53166.24,0,0,0,36931.81,47127.426,29708.965,42441.44,42432.504
29,443.2238804,0.7064726,0,0,0,0,0,0,0,0,0,0,0,0,102218.69,0,0,0,0,0,0,0
30,705.1870851,0.7230409,62255.555,107923.46,212677.48,87731.61,99865.805,113092.08,178840.02,82048.81,33698.703,120182.86,63532.297,62422.867,23570.244,59677.79,92020.22,55973.457,103050.836,49370.82,76363.46,66316.234
31,266.1241429,0.72708905,0,73202.56,0,0,0,0,0,23936.543,0,0,0,0,369601.72,0,0,66174.73,100185.55,67169.89,101156.21,79138.15
32,544.1367685,0.7321286,183125.98,108159.46,201964.78,105850.26,113618.664,131063.07,237575.98,133857.17,94335.9,157644.2,132978.88,131940.42,34477.02,128720.42,139637.25,107793.414,193387.75,68273.51,155853.34,99999.26
33,223.0640909,0.6007336,121286.58,114087.02,26511.305,133606.95,113550.625,29785.355,107236.94,20959.76,111088.63,0,113831.47,110844.63,109739.7,115972.35,112535.15,113249.414,125256.48,130625.79,87398.43,142373.44
34,189.1237134,0.7360324,145529.9,193954.53,84021.12,76806.664,107342.51,89941.81,113266.43,278779.7,48329.484,360788.12,62105.645,80762.6,200727.12,106453.63,77362.945,0,0,0,0,0
35,259.0939328,0.7373695,0,0,0,0,0,0,0,0,0,0,0,0,21644.418,0,0,87588.03,124883.484,87114.266,131237.3,119215.09
36,229.1298393,0.72816885,0,18019.25,19220.588,15312.045,0,15655.52,33048.957,11833.273,0,18155.904,5865.324,13258.513,0,11035.258,0,7150.6465,10389.413,0,0,0
37,250.0931135,0.7421006,0,9998.824,0,0,17536.973,0,19975.82,9730.929,0,0,9706.504,13738.377,70810.586,13149.376,0,182151.38,249027.7,173150.92,267490.16,219138.4
38,381.0805092,0.7362859,422418.72,520295.5,564654.2,307966.62,498746,374542.72,803920.3,510202.78,253828.48,362052.3,229675.66,314836.72,123154.984,260358.16,280589.97,103697.59,195372.27,0,175520.9,0
39,543.1336738,0.7355897,882646.1,516965.34,1003957.3,507338.72,583437.25,612393.06,1196775.5,647110.6,450594.22,789332.06,648327.9,660485.4,167123.58,645885.9,695178.1,525705.4,919441.8,346813.28,743912.8,482972.6
40,248.114112,0.73759043,0,26756.61,0,0,0,0,10435.8545,0,0,0,0,0,344983.28,0,0,25998.725,37961.773,37088.805,40372.695,48561.617
41,234.0978768,0.7429703,0,38589.285,0,8490.283,0,0,9399.91,22076.727,0,0,0,0,1780788.4,0,0,720930,1027687.2,643387.44,383320.62,935518.1
42,506.2030622,0.7470586,0,0,0,0,0,0,0,0,0,0,0,0,71626.98,0,0,0,0,0,0,0
43,527.1595563,0.73324406,301254.75,167146.72,198923.3,150552.23,142125.27,179299.98,218184.89,196648.08,202437.34,210305.08,216583.61,189057.36,182116.33,205290.98,214552.56,390862.56,497494.12,320262.47,449584.97,352174.56
44,264.1083626,0.74729896,0,20456.217,0,0,0,0,0,16051.975,0,0,0,0,132052.06,0,0,442078.25,558446.5,322368.25,593021.7,465786.25
45,338.150357,0.83864,0,151219.27,196154.7,272668.06,176057.55,288018.34,111160.24,258988.36,412005.72,378706.28,344438.28,505614.22,572952.5,336294.9,0,28927.736,75875.69,36770.86,70546.84,47696.8
46,278.1605566,0.771619,0,0,0,0,0,0,0,0,0,0,0,0,1283269.9,0,0,20711.863,19654.832,0,45414.57,135802
47,442.1924888,0.7668578,0,0,0,0,0,0,0,0,0,0,0,0,198742.89,0,0,0,0,0,0,0
