row ID,row m/z,row retention time,7p.mzML Peak area,4p.mzML Peak area,6p.mzML Peak area,1p.mzML Peak area,9p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,5p.mzML Peak area,12p.mzML Peak area,11p.mzML Peak area,13p.mzML Peak area,8p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area
1,161.0296748,0.64100826,8929.865,8508.468,0,3352.1228,7058.0913,11565.516,0,12033.47,7422.8423,0,11695.328,7121.122,12799.491,8121.3423,16417.162
2,281.1831564,0.7617968,0,18369.566,0,0,0,13969.468,21446.826,104357.69,0,0,105117.914,0,54323.6,125841.836,0
3,309.1664626,0.66785926,13736.642,1747.5594,0,4125.6973,6389.882,0,0,0,0,0,5973.2627,0,0,49266.945,0
4,471.2197676,0.6679955,1926.5447,0,0,0,0,0,0,0,0,0,0,0,0,42286.695,0
5,300.1371781,0.79855376,30707.8,20719.154,0,5699.6206,34872.867,12701.704,78560.97,0,42700.97,0,0,22251.97,54238.4,28470.564,0
6,480.1834474,0.6703317,0,0,0,0,0,0,0,0,0,0,0,0,0,28285.559,0
7,666.2471349,0.68235904,0,0,0,0,0,0,3328.9897,0,0,0,0,0,1933.03,56201.39,1978.5879
8,300.1346304,0.7773087,32293.613,20719.154,0,0,40768.816,13777.947,95147.66,0,44170.695,0,0,22251.97,54468.477,31047.928,0
9,180.0868825,0.6770588,4286.4824,0,0,0,8054.8247,0,0,0,19303.271,12461.07,24132.748,13928.375,23223.31,18969.87,18412.537
10,162.0763049,0.7131071,0,13353.179,0,12663.379,6790.2373,13898.906,17767.428,16974.139,8896.912,3631.6155,13772.628,0,14685.092,102470.586,8884.586
11,319.1637975,0.7147699,15394.017,0,0,0,5812.9424,0,8726.011,0,0,0,0,0,0,25981.906,0
12,318.131853,0.6964631,11054.803,0,0,0,3757.6182,0,10085.011,0,0,0,0,0,5167.2764,153656.92,0
13,342.1402121,0.6802619,37249.434,13054.3955,3719.397,14342.151,14394.719,14258.064,13782.213,19606.367,35913.957,21678.94,55505.586,14973.23,51995.24,2495935.5,36154.805
14,324.1290615,0.7065355,6122.007,0,0,0,0,0,6819.804,0,0,2558.6602,0,0,5590.0503,237703.27,0
15,254.1218881,0.68802357,10828.174,0,0,0,0,0,0,0,0,0,0,0,0,120974.49,0
16,288.1161282,0.74432635,0,0,0,0,0,0,38236.93,0,0,6127.002,0,0,0,102687.65,0
17,306.1192781,0.68694985,0,0,0,0,0,0,0,0,0,0,0,0,0,272547.3,0
18,309.1664086,0.66922754,13736.642,1747.5594,0,4125.6973,6389.882,0,0,0,0,0,0,0,0,29429.969,0
19,343.1464722,0.715481,7760.541,0,0,0,4612.3496,0,16485.84,0,1892.6768,0,19139.977,0,4237.3633,336433.38,1950.0776
20,486.1830103,0.73013955,0,0,0,0,0,0,0,0,0,0,0,0,0,49369.047,1552.9912
21,504.1936657,0.6781742,30961.057,0,0,0,8804.78,0,0,0,3661.043,3778.143,1958.9395,0,3596.1128,405859.12,3535.2266
22,220.1115203,0.72888035,12966.377,6185.0513,6979.911,9591.022,20031.191,6765.156,9030.33,0,8450.338,12378.925,12716.739,20234.664,0,78982.39,0
23,364.1226062,0.6853016,0,0,0,0,0,0,0,0,4206.8643,0,7931.0957,0,6153.639,212673.73,3646.1416
24,236.08005,0.6884993,171367.17,124614.7,106329.45,222505.42,257717.42,128716.516,261953.1,127974.14,89782.64,86760.914,82207.16,278177.75,81936.66,27145.668,74780.38
25,154.133965,0.6889799,90244.93,51928.06,45845.043,107031.96,140855.7,60420.465,114850.59,66443.1,31149.867,34845.098,27073.012,161504.38,29928.834,29101.611,30019.94
26,199.117232,0.74219817,18265.066,8873.446,0,22716.35,25905.408,12019.115,22086.422,11647.609,15985.06,14014.167,15823.647,33933.82,8841.744,12275.195,0
27,266.1601807,0.6893215,17155.92,14373.455,0,22279.73,16244.2705,15846.887,26076.992,12182.619,7113.5586,0,0,19372.08,8154.3057,31962.238,7365.3726
28,198.1240725,0.6895177,208132.8,122648.87,108329.22,225218.08,311483.38,138283.47,247915.31,136618.53,75938.125,81157.61,63106.973,339685.22,72306.67,64230.504,72571.6
29,337.1700648,0.69909596,19180.621,0,0,0,0,0,0,0,0,0,0,0,0,121416.36,0
30,308.1422245,0.76755905,22852.688,85510.66,232464.64,78201.836,16605.424,40715.098,153985.06,306604.28,45558.805,237342.2,723197.75,0,119984.7,37417.57,0
31,504.1936535,0.6826009,27198.557,0,0,0,8804.78,0,0,0,3661.043,3778.143,1958.9395,0,3596.1128,79070.22,3535.2266
32,175.1186306,0.69596624,0,28356.773,0,45397.387,0,27709.602,30762.244,28656.754,9725.688,0,19187.395,22498.102,29559.227,19133.504,16094.83
33,443.2242273,0.7064726,0,0,0,0,0,0,0,0,0,0,0,0,0,107511.82,0
34,380.0961424,0.7003931,9463.842,3342.4243,0,2829.3984,5218.8267,3746.061,4910.471,5576.914,10594.584,4478.2886,17779.42,2558.357,14325.76,154557.64,8830.502
35,406.165057,0.7155722,0,0,0,0,0,0,0,0,1771.1599,11503.619,4232.493,0,12280.99,0,8332.612
36,206.1031603,0.71327406,20482.906,0,0,0,7141.3296,0,0,0,0,0,0,0,0,54556.83,0
37,705.1867952,0.72284067,107923.46,87731.61,62255.555,212677.48,82048.81,113092.08,178840.02,96966.664,63532.297,35008.83,92020.22,120182.86,62422.867,23570.244,59677.79
38,544.1366305,0.7307452,110369.58,105850.26,183125.98,203575.78,133857.17,131063.07,239772.75,114629.45,132978.88,94335.9,141108.78,157644.2,131940.42,34477.02,129630.3
39,266.1241099,0.72932035,73202.56,0,0,0,23936.543,0,0,0,0,0,0,0,0,369601.72,0
40,297.0831358,0.5813769,106378.36,105107.19,107517.195,100464.78,17433.217,100429.4,101692.56,49667.89,23382.018,102755.26,20144.48,30851.027,88315.52,130472.39,111818.64
41,543.1336348,0.7302134,516965.34,459599.06,886556.8,1003957.3,647110.6,572819.75,1196775.5,583437.25,648327.9,450594.22,693054.4,789332.06,664766.2,170720.56,645885.9
42,250.0933395,0.74609244,12109.672,0,0,14160.256,11496.363,12074.002,21361.31,19106.95,9706.504,9198.1455,8203.83,0,13738.377,72135.48,13149.376
43,259.0941062,0.76951635,0,0,0,0,0,0,6507.755,0,11376.075,0,0,3392.44,17845.88,24232.777,0
44,229.1293234,0.7286857,20636.516,19047.38,0,20813.281,19502.89,18090.055,36794.12,0,5865.324,0,0,22364.451,16041.254,14050.733,11035.258
45,371.1019999,0.6627904,77460.52,28396.762,18635.29,89387.375,18823.59,16275.879,74023.09,30184.812,76246.05,74671.984,18611.936,30429.59,65964.07,71890.09,27095.836
46,258.1100884,0.74097043,0,0,0,6848.462,5621.163,0,0,0,0,0,0,0,0,304705.22,0
47,223.0640547,0.70858395,109656.48,45977.133,28131.695,37017.773,20959.76,32637.176,106692.22,109425.25,109836.19,106724.85,108331.125,0,106590.57,44974.055,115972.35
48,234.0978082,0.7390283,38589.285,8490.283,0,9592.76,22076.727,8527.184,11735.794,7242.341,6882.118,10159.364,7802.08,8495.182,8797.193,1782144.4,8359.697
49,381.0805526,0.74466085,36847.426,260945.28,422418.72,18472.727,510202.78,330502.62,808023.06,416709.56,229675.66,255668.14,284553.8,362052.3,333217.38,123154.984,274420.7
50,189.123763,0.7358563,193954.53,76806.664,145529.9,85073.31,278488.56,92749.22,115279.99,111148.086,63081.305,48329.484,77362.945,360788.12,80762.6,203227.97,107611.01
51,252.1087764,0.74489164,6728.689,0,2501.88,9746.537,3962.3035,0,8969.934,20331.68,0,0,0,0,6053.4736,206486.83,0
52,472.1856356,0.7517657,72076.766,88212.52,18366.645,77930.38,102558.055,49582.98,87599.945,162246.89,70107.53,60118.875,65695.84,100669.8,86114.97,29592.135,82351.4
53,506.2002272,0.76039886,0,0,0,0,0,0,0,0,0,0,0,0,0,66537.984,0
54,264.10911,0.7500899,20456.217,0,0,0,16051.975,0,5297.821,7080.2437,0,0,0,0,0,132052.06,0
55,328.1072529,0.7505845,7734.7725,0,0,0,0,0,4698,7548.2793,0,0,0,0,0,108738.8,0
56,189.1237867,0.7396393,193954.53,76806.664,145529.9,81316.09,15998.038,92749.22,116161.555,93508.96,63081.305,48329.484,77362.945,360788.12,80762.6,203227.97,104667.28
